isbn,openlib,wikidata
9780571270156,/works/OL20925722W,
9780241304549,/works/OL21199777W,
9781925498936,/works/OL1168030W,Q1355487
9780241270530,/works/OL1725867W,Q7939693
9780140390315,/works/OL114967W,Q260205
9780241957219,/works/OL16801714W,
9780547572475,/works/OL2172396W,Q591997
9780141033570,/works/OL15992072W,Q983718
9780241302514,/works/OL2714402W,
9780141195650,/works/OL2737302W,
9780099552352,/works/OL1715325W,
9781863739153,/works/OL1873362W,
9780141034645,/works/OL20109529W,
9781862075962,/works/OL263475W,
9781597805391,/works/OL115336W,
9780547572536,/works/OL2172477W,Q3931527
9781863732451,/works/OL1873363W,
9780465020690,/works/OL16928403W,
9780241467985,/works/OL98454W,Q41359
9781770460911,/works/OL19960438W,
9780375714689,/works/OL19669117W,
9780134692883,/works/OL19543751W,
9781770462090,/works/OL20010496W,
9780099540656,/works/OL25004603W,
9780312144012,/works/OL1819653W,
9781782797593,/works/OL20039195W,
9781846941795,/works/OL19703505W,
9780811204811,/works/OL3923956W,
9781473232297,/works/OL25764282W,
9780241386705,/works/OL21197949W,
9780906973738,,
9780262232692,/works/OL15506962W,
9780262014410,/works/OL18586972W,
9781904764069,/works/OL8937757W,
9781617290398,/works/OL19547742W,
9780714847733,/works/OL8369927W,
9782754800518,/works/OL27966758W,
9781785355431,/works/OL17862178W,
9780374534516,/works/OL19713238W,
9782290235850,,
9781250849151,/works/OL20843884W,
9781910695579,/works/OL21205146W,
9780993045875,/works/OL20519598W,
9780099590088,/works/OL17075811W,
9780007221837,/works/OL2745976W,
9781509823291,/works/OL676009W,Q188538
9780141039169,/works/OL20355235W,
9780547572253,/works/OL2172518W,Q874492
9780425276235,/works/OL17268037W,
9780996421805,/works/OL17322792W,
9780851707464,/works/OL3110046W,
9781590173282,/works/OL11151795W,
9780571220328,/works/OL1833649W,
9781846276033,/works/OL17334243W,
9780099800200,/works/OL98459W,Q265954
9781783784561,/works/OL8866426W,
9781875411047,/works/OL26422550W,
9780099541660,/works/OL1715337W,
9780099590071,/works/OL20039993W,
9780349119526,/works/OL24623283W,
9781781256237,/works/OL20884309W,
9781529019001,/works/OL20159752W,
9781908745644,/works/OL24638975W,
9781857985535,/works/OL20083551W,
9783775748278,/works/OL25275869W,
9781784785932,/works/OL17612277W,
9780140276619,/works/OL20822179W,
9781852427436,/works/OL2042519W,
9780547572581,/works/OL2172523W,Q185031
9781863956499,/works/OL17869264W,
9780809016488,/works/OL20727483W,
9780374533427,/works/OL20033651W,
9780099524083,/works/OL98463W,
9780563405887,/works/OL31233380W,
9780553404807,/works/OL7826726M,
9781845830809,/works/OL17503646W,
9784805306727,/works/OL25346737W,
9780826427939,/works/OL8622453W,
9780099819301,/works/OL98487W,
9780099449256,/works/OL1715276W,
9781910924389,/works/OL23884794W,
9781800181540,/works/OL22534096W,
9780262633086,/works/OL3031125W,
9781560977186,/works/OL8861027W,
9781846949241,/works/OL19955515W,
9780385333870,/works/OL98471W,
9781846275975,/works/OL17764836W,
9780300192483,/works/OL19664180W,
9781875989713,/works/OL8656566M,
9780316715973,/works/OL5604297W,
9780099575061,/works/OL17835813W,
9781910701720,/works/OL25282920W,
9782960029604,/works/OL13735847W,
9781922129352,/works/OL21078967W,
9780750627931,/works/OL16929266W,
9781844574131,/works/OL17583629W,
9789089641397,/works/OL15630724W,
9780199686735,/works/OL21060304W,
9780520265745,/works/OL16726994W,
9780816612871,/works/OL685250W,
9780224064460,/works/OL462831W,Q5403239
9780230230439,/works/OL20682255W,
9783901644597,/works/OL21087825W,
9781907222214,/works/OL21492421W,
9781905177196,/works/OL20418886W,
9780141984124,/works/OL20047112W,
9780241951248,/works/OL17545722W,
9780241312629,/works/OL20152050W,
9780241953914,/works/OL20776237W,
9781760642914,/works/OL26423042W,
9780140186956,/works/OL619700W,
9780143566342,/works/OL110959W,Q6467743
9780241485118,/works/OL25762462W,
9780141186917,/works/OL7967161W,
9780143039884,/works/OL1386647W,
9780241957707,/works/OL16816586W,
9780141183213,/works/OL14857571W,
9780141195667,/works/OL21038585W,
9780141183848,/works/OL110971W,
9780141049113,/works/OL18755648W,
9780141049571,/works/OL15415061W,
9780141184371,/works/OL7986841W,
9780141035796,/works/OL1980231W,Q14479917
9782960029611,/works/OL19453556W,
9782072802393,,
9781925773088,/works/OL17351965W,Q11827997
9782723467834,/works/OL17080793W,
9780571233427,/works/OL8485367W,
9781897299753,/works/OL14995515W,
9781606994092,/works/OL19946162W,
9782203030459,/works/OL32781476W,
9780195507843,/works/OL21081630W,
9780879515164,/works/OL2895163W,
9780879516246,/works/OL2895163W,
9782723472845,/works/OL26423043W,
9782203112186,/works/OL26422552W,
9791038201682,,
9780140094190,/works/OL462836W,Q3088603
9781592910090,/works/OL2897783W,
9780974056722,/works/OL4302805W,
9782889231218,,
9780425165584,/works/OL457864W,
9780851708379,/works/OL3110041W,
9781560975434,/works/OL5771091W,
9780141195674,/works/OL2737316W,
9780061711305,/works/OL936839W,
9780141012377,/works/OL20998814W,
9780375714726,/works/OL573448W,Q2331527
9781718501188,/works/OL24176408W,
9781781256855,/works/OL18201749W,
9780099555162,/works/OL21044990W,
9780099555179,/works/OL17584904W,
9780099581499,/works/OL17518164W,
9780099581529,/works/OL21090178W,
9780099590187,/works/OL21127477W,
9780099590194,/works/OL21160282W,
9781760640873,/works/OL21210728W,
9780226502359,/works/OL20227353W,
9780241352144,/works/OL20160376W,
9781473608436,/works/OL21127294W,
9780199681037,/works/OL17574476W,
9780226612836,/works/OL20156157W,
9781781256244,/works/OL17482419W,
9781804270288,/works/OL31184321W,
9780140298000,/works/OL20996737W,
9781526612540,/works/OL25294356W,
9780141191621,/works/OL1434640W,Q694245
9780241310663,/works/OL51145W,
9780008319489,/works/OL20978265W,
9780141181110,/works/OL444891W,
9781910695593,/works/OL25473835W,
